,Asl Major Radius,Asl Minor Radius,Asl Ring Width,Cep97 Major Radius,Cep97 Minor Radius,Cep97 Ring Width,Cep97 Eccentricity,Asl Eccentricity,Cep97 Average Radius,Asl Average Radius
1,3.7250676749,3.65091719343,1.73269077491,1.7361817695,1.52932335693,1.90875192781,1.13526139625,1.02031009676,1.63275256321,3.68799243417
3,3.87663622786,3.65648220911,1.81915202354,1.45831174695,1.27614917529,1.92618122402,1.14274394811,1.06020924106,1.36723046112,3.76655921849
6,3.94120676815,3.70737115119,1.67211795216,1.49145801068,1.36698017749,2.04235346331,1.09106045225,1.06307316085,1.42921909408,3.82428895967
8,3.74893623157,3.62000137845,1.93390723057,1.34907244301,1.30798371482,2.2256501775,1.03141379187,1.03561734918,1.32852807891,3.68446880501
9,3.85236524702,3.33572359348,1.8569217422,1.89001317573,1.75109821236,1.7892087931,1.07933019541,1.15488143399,1.82055569405,3.59404442025
13,4.26782405879,3.79261692023,1.74936709008,2.00542098182,1.83737001445,1.96283810185,1.09146277889,1.12529795351,1.92139549814,4.03022048951
18,3.97029257231,3.80333970101,1.67470609367,1.87038608809,1.84340401663,1.91159867163,1.01463709052,1.04389638697,1.85689505236,3.88681613666
20,4.19268478174,3.99652502669,1.67241941851,1.99533356536,1.88863934224,1.69658386797,1.05649264036,1.04908257893,1.9419864538,4.09460490421
21,4.40831069611,3.72101223318,1.78865955534,1.72288218798,1.71612925896,1.91417579474,1.00393497692,1.18470739139,1.71950572347,4.06466146464
24,3.94169766384,3.88500742526,1.68847311744,1.62000906254,1.53156012595,1.91369516302,1.05775087448,1.01459205411,1.57578459425,3.91335254455
27,4.08738423944,3.61909865091,1.78780101046,1.83881752005,1.60586586809,1.71070733507,1.14506295737,1.12939287754,1.72234169407,3.85324144517
31,4.1664350159,4.03481302342,2.34877162415,2.22405332445,2.0692798852,1.91135199297,1.07479579749,1.03262158413,2.14666660483,4.10062401966
